School,Longitude,Latitude
Air Force Falcons ,-104.759899,38.8632
Akron Zips ,-81.521499,41.0804
Alabama Crimson Tide,-87.540979,33.2377
Arizona State Sun Devils,-111.930639,33.38835
Arizona Wildcats,-110.891717,32.195816
Arkansas Razorbacks,-94.155684,36.0718
Arkansas State Red Wolves ,-90.685768,35.821828
Army Black Knights ,-74.027317,41.362343
Auburn Tigers,-85.480322,32.5929
Ball State Cardinals,-87.842539,40.115904
Baylor Bears ,-97.183198,31.56895
Boise State Broncos,-116.2261,43.606651
Boston College Eagles ,-71.017892,42.336029
Bowling Green Falcons,-83.6514,41.3747
Buffalo Bulls,-78.859684,42.8898
BYU Cougars,-111.642674,40.24715
California Golden Bears,-122.29729,37.86725
Central Michigan Chippewas ,-84.778251,43.596552
Charlotte 49ers,-80.834514,35.19755
Cincinnati Bearcats ,-84.505957,39.139801
Clemson Tigers,-82.812853,34.684019
Colorado Buffaloes ,-105.251025,40.026881
Colorado State Rams ,-105.068481,40.55555
Connecticut Huskies,-72.256675,41.806054
Duke Blue Devils ,-78.914969,35.980433
East Carolina Pirates ,-77.374398,35.599826
Eastern Michigan Eagles ,-83.621106,42.2442
Florida International Golden Panthers,-80.210845,25.775667
Florida Atlantic Owls ,-80.106624,26.3727
Florida Gators,-82.336277,29.67415
Florida State Seminoles,-84.281399,30.457
Fresno State Bulldogs ,-119.792874,36.7806
Georgia Bulldogs,-83.393701,33.9553
Georgia State Panthers,-84.422592,33.7629
Georgia Tech Yellow Jackets,-84.422592,33.7629
Hawai?i Warriors,-155.087501,19.696151
Houston Cougars ,-95.386728,29.7687
Idaho Vandals,-116.996844,46.729767
Illinois Fighting Illini,-88.264949,40.113
Indiana Hoosiers ,-86.5264,39.1653
Iowa Hawkeyes,-91.535124,41.65825
Iowa State Cyclones,-93.625622,42.02335
Kansas Jayhawks ,-95.255405,38.96285
Kansas State Wildcats ,-96.589981,39.1901
Kent State Golden Flashes ,-81.362487,41.147067
Kentucky Wildcats,-84.45946,38.042746
Louisiana Tech Bulldogs ,-92.639625,32.531802
