Cluster Method,Cluster,Size,Min Lon,Max Lon,Min Lat,Max Lat,Centroid Lat,Centroid Lon,Std Lat,Std Lon,Box Size,Avg Distance,Isolated
average,8,1,19.696151,19.696151,-155.087501,-155.087501,19.696151,-155.087501,0.0,0.0,0.0,0.0,Yes
average,6,6,25.775667,29.67415,-82.48212,-80.106624,27.34365533333333,-81.12015983333333,1.4729742992220054,1.006594843418376,9.260830772568,2.4078877171803743,No
average,1,24,29.45765,35.821828,-98.505355,-86.799223,31.7965635,-93.18392666666666,1.833814156952843,3.8583389061202746,74.49990773949592,5.4173274062993855,No
average,2,45,30.457,43.596552,-89.387519,-77.374398,38.25724373333333,-83.81364793333331,3.3417353532084055,2.8845378954761483,157.847028061792,5.680405781903312,No
average,10,5,31.84925,35.11265,-111.930639,-106.437549,32.97642660000001,-108.52591060000002,1.1851642684376886,2.380744925734344,17.92614990599999,3.8569940362508697,No
average,7,9,32.81495,39.438391,-122.29729,-115.33381,36.229081111111114,-119.46063311111112,2.0135864862903725,2.2583030258751786,46.12219893468003,4.051770801229277,No
average,4,11,35.46705,44.96185,-97.513491,-91.535124,39.06368636363636,-94.94426554545454,2.966978242948915,1.9918382454203813,56.76339899160004,4.7723675176590765,No
average,9,13,36.9232,43.041059,-78.859684,-71.017892,40.55369723076923,-75.24513953846153,1.8428584046888499,2.4401914165121,47.974977763327956,4.03303252887951,No
average,5,7,38.8632,41.74004,-111.929921,-104.759899,40.502995428571424,-108.01002314285714,0.8653665210520184,3.2930980916792096,20.627006090479977,4.406867089052405,No
average,3,6,43.606651,47.6218,-123.112172,-116.2261,45.71378683333334,-119.75064950000001,1.4686211625171215,2.9779553309497313,27.648605104728002,4.67943990833823,No
centroid,5,1,19.696151,19.696151,-155.087501,-155.087501,19.696151,-155.087501,0.0,0.0,0.0,0.0,Yes
centroid,3,24,25.775667,36.17155,-90.006991,-80.106624,31.867858666666667,-85.1938695,3.148484775693589,3.120656498044842,102.92305698906108,5.614689362352006,No
centroid,7,17,29.45765,35.46705,-98.505355,-91.126043,31.558013529411763,-95.92545370588236,1.8888565799086627,2.3525584332729386,44.34523753279999,3.9096088482016293,No
centroid,2,12,31.84925,41.74004,-111.930639,-104.759899,37.366925083333335,-108.22497625,3.845907254893883,2.9584263635129306,70.92428348459994,6.515575231738505,No
centroid,4,9,32.81495,39.438391,-122.29729,-115.33381,36.229081111111114,-119.46063311111112,2.0135864862903725,2.2583030258751786,46.12219893468003,4.051770801229277,No
centroid,1,17,34.039236,41.147067,-82.433767,-76.244943,37.64103635294117,-79.72980452941177,2.1215242296654635,1.7416018471894714,43.98911508074396,3.6312821144592458,No
centroid,9,10,35.821828,44.96185,-96.688171,-90.685768,39.4588278,-94.00457070000002,2.826822432936947,1.9935976023623254,54.862095472866024,4.7618529995055425,No
centroid,8,21,36.973703,43.596552,-89.387519,-82.987381,40.79104533333334,-85.71256119047621,1.7671450234703523,1.8456309634102968,42.387147553162,3.3758320491817,No
centroid,10,10,38.97165,43.041059,-78.859684,-71.017892,41.32413520000001,-74.6521341,1.275761257880393,2.4400073142236054,31.911458940927993,3.676204872365856,No
centroid,6,6,43.606651,47.6218,-123.112172,-116.2261,45.71378683333334,-119.75064950000001,1.4686211625171215,2.9779553309497313,27.648605104728002,4.67943990833823,No
complete,8,1,19.696151,19.696151,-155.087501,-155.087501,19.696151,-155.087501,0.0,0.0,0.0,0.0,Yes
complete,10,6,25.775667,29.67415,-82.48212,-80.106624,27.34365533333333,-81.12015983333333,1.4729742992220054,1.006594843418376,9.260830772568,2.4078877171803743,No
complete,1,18,29.45765,40.8164,-98.505355,-94.155684,33.44152561111111,-96.74768183333332,3.5897947057898607,1.1245558279726489,49.40682547125001,4.663196748482075,No
complete,2,16,30.065846,35.821828,-92.639625,-84.281399,32.3832226875,-89.020019875,1.737900916540616,2.4137294303661054,48.109798407931976,3.9618688628938465,No
complete,3,12,31.84925,41.74004,-111.930639,-104.759899,37.366925083333335,-108.22497625,3.845907254893883,2.9584263635129306,70.92428348459994,6.515575231738505,No
complete,9,9,32.81495,39.438391,-122.29729,-115.33381,36.229081111111114,-119.46063311111112,2.0135864862903725,2.2583030258751786,46.12219893468003,4.051770801229277,No
complete,6,30,33.7629,41.147067,-86.784829,-76.244943,37.203568866666664,-82.20193919999998,2.190772883259615,2.8734120520435673,77.82827838496195,4.732138237561459,No
complete,7,18,38.9541,44.96185,-93.625622,-83.581649,41.842700111111114,-87.51717994444442,1.3403040685097831,3.313841566485028,60.341678790750066,4.480135562798067,No
complete,4,11,38.97165,43.041059,-78.859684,-71.017892,41.11249218181819,-74.85964781818181,1.3883565253744397,2.417233029168751,31.911458940927993,3.6915632404562633,No
complete,5,6,43.606651,47.6218,-123.112172,-116.2261,45.71378683333334,-119.75064950000001,1.4686211625171215,2.9779553309497313,27.648605104728002,4.67943990833823,No
ward,8,1,19.696151,19.696151,-155.087501,-155.087501,19.696151,-155.087501,0.0,0.0,0.0,0.0,Yes
ward,9,6,25.775667,29.67415,-82.48212,-80.106624,27.34365533333333,-81.12015983333333,1.4729742992220054,1.006594843418376,9.260830772568,2.4078877171803743,No
ward,6,15,29.45765,36.12775,-98.505355,-94.155684,32.198540733333324,-96.86164773333333,2.461221846635298,1.1637050012561005,29.012740537099997,3.4744572041701787,No
ward,2,21,30.065846,35.97455,-92.639625,-82.812853,32.87005866666667,-87.777064,1.7970523541598766,3.078137475854313,58.06348702348795,4.634087151303849,No
ward,3,12,31.84925,41.74004,-111.930639,-104.759899,37.366925083333335,-108.22497625,3.845907254893883,2.9584263635129306,70.92428348459994,6.515575231738505,No
